Dept ARCH
Coursenum  Class Title                     Day        Start Time  End Time
---------  ------------------------------  ---------  ----------  --------
2150-01    THE_ETHOS_OF_ARCHITECTURE       Monday     10:00AM     11:20AM 
2150-01    THE_ETHOS_OF_ARCHITECTURE       Thursday   10:00AM     11:20AM 
2160-01    ARCHITECTURAL_MEDIA             Thursday   12:00PM     01:50PM 
2330-01    STRUCTURES_1                    Tuesday    10:00AM     11:30AM 
2330-01    STRUCTURES_1                    Friday     10:00AM     11:30AM 
2350-01    CONSTRUCTION_SYSTEMS            Wednesday  12:00PM     01:50PM 
2510-01    MATERIALS_AND_DESIGN            Wednesday  10:00AM     11:50AM 
2800-01    ARCHITECTURAL_DESIGN_STUDIO_1   Monday     02:00PM     05:50PM 
2800-01    ARCHITECTURAL_DESIGN_STUDIO_1   Wednesday  02:00PM     05:50PM 
2800-01    ARCHITECTURAL_DESIGN_STUDIO_1   Thursday   02:00PM     05:50PM 
2800-02    ARCHITECTURAL_DESIGN_STUDIO_1   Monday     02:00PM     05:50PM 
2800-02    ARCHITECTURAL_DESIGN_STUDIO_1   Wednesday  02:00PM     05:50PM 
2800-02    ARCHITECTURAL_DESIGN_STUDIO_1   Thursday   02:00PM     05:50PM 
2800-03    ARCHITECTURAL_DESIGN_STUDIO_1   Monday     02:00PM     05:50PM 
2800-03    ARCHITECTURAL_DESIGN_STUDIO_1   Wednesday  02:00PM     05:50PM 
2800-03    ARCHITECTURAL_DESIGN_STUDIO_1   Thursday   02:00PM     05:50PM 
2800-04    ARCHITECTURAL_DESIGN_STUDIO_1   Monday     02:00PM     05:50PM 
2800-04    ARCHITECTURAL_DESIGN_STUDIO_1   Wednesday  02:00PM     05:50PM 
2800-04    ARCHITECTURAL_DESIGN_STUDIO_1   Thursday   02:00PM     05:50PM 
2800-05    ARCHITECTURAL_DESIGN_STUDIO_1   Monday     02:00PM     05:50PM 
2800-05    ARCHITECTURAL_DESIGN_STUDIO_1   Wednesday  02:00PM     05:50PM 
2800-05    ARCHITECTURAL_DESIGN_STUDIO_1   Thursday   02:00PM     05:50PM 
2800-06    ARCHITECTURAL_DESIGN_STUDIO_1   Monday     02:00PM     05:50PM 
2800-06    ARCHITECTURAL_DESIGN_STUDIO_1   Wednesday  02:00PM     05:50PM 
2800-06    ARCHITECTURAL_DESIGN_STUDIO_1   Thursday   02:00PM     05:50PM 
2820-01    ARCHITECTURAL_DESIGN_STUDIO_3   Monday     02:00PM     05:50PM 
2820-01    ARCHITECTURAL_DESIGN_STUDIO_3   Wednesday  02:00PM     05:50PM 
2820-01    ARCHITECTURAL_DESIGN_STUDIO_3   Thursday   02:00PM     05:50PM 
2820-02    ARCHITECTURAL_DESIGN_STUDIO_3   Monday     02:00PM     05:50PM 
2820-02    ARCHITECTURAL_DESIGN_STUDIO_3   Wednesday  02:00PM     05:50PM 
2820-02    ARCHITECTURAL_DESIGN_STUDIO_3   Thursday   02:00PM     05:50PM 
2820-03    ARCHITECTURAL_DESIGN_STUDIO_3   Monday     02:00PM     05:50PM 
2820-03    ARCHITECTURAL_DESIGN_STUDIO_3   Wednesday  02:00PM     05:50PM 
2820-03    ARCHITECTURAL_DESIGN_STUDIO_3   Thursday   02:00PM     05:50PM 
2820-04    ARCHITECTURAL_DESIGN_STUDIO_3   Monday     02:00PM     05:50PM 
2820-04    ARCHITECTURAL_DESIGN_STUDIO_3   Wednesday  02:00PM     05:50PM 
2820-04    ARCHITECTURAL_DESIGN_STUDIO_3   Thursday   02:00PM     05:50PM 
2820-05    ARCHITECTURAL_DESIGN_STUDIO_3   Monday     02:00PM     05:50PM 
2820-05    ARCHITECTURAL_DESIGN_STUDIO_3   Wednesday  02:00PM     05:50PM 
2820-05    ARCHITECTURAL_DESIGN_STUDIO_3   Thursday   02:00PM     05:50PM 
2860-01    BUILDING_PERFORMANCE_STUDIO_2   Monday     02:00PM     05:50PM 
2860-01    BUILDING_PERFORMANCE_STUDIO_2   Wednesday  02:00PM     05:50PM 
2860-01    BUILDING_PERFORMANCE_STUDIO_2   Thursday   02:00PM     05:50PM 
4020-01    BEDFORD_SEMINAR                 Wednesday  12:00PM     01:50PM 
4050-01    CITIES_AND_THEIR_TERRITORIES    Tuesday    02:00PM     03:50PM 
4120-01    CLOUD_ATLAS:_20TH_CENTURY_ARCH  Monday     12:00PM     01:30PM 
4120-01    CLOUD_ATLAS:_20TH_CENTURY_ARCH  Thursday   12:00PM     01:30PM 
4170-80    ENVIRONMENTAL_PARAMETRICS       Tuesday    11:00AM     12:50PM 
4330-01    STRUCTURES_2                    Tuesday    12:00PM     01:20PM 
4330-01    STRUCTURES_2                    Friday     12:00PM     01:20PM 
4510-01    CONSTRUCTION_INDUST_SEMR        Thursday   12:00PM     01:50PM 
4540-01    PROFESSIONAL_PRACTICE_1         Tuesday    06:00PM     07:50PM 
4540-01    PROFESSIONAL_PRACTICE_1         Thursday   06:00PM     06:50PM 
4550-01    PROFESSIONAL_PRACTICE_2         Tuesday    06:00PM     07:50PM 
4560-01    MATERIALS_AND_ENCLOSURES        Monday     12:00PM     01:50PM 
4580-80    MATERIALS_SYSTEMS_&_PRODUCTION  Tuesday    02:00PM     04:50PM 
4750-01    SUSTAINABLE_BLDING_DES_METRICS  Monday     06:00PM     07:50PM 
4770-01    ARCHITECTURAL_DESIGN_STUDIO_5   Monday     02:00PM     05:50PM 
4770-01    ARCHITECTURAL_DESIGN_STUDIO_5   Wednesday  02:00PM     05:50PM 
4770-01    ARCHITECTURAL_DESIGN_STUDIO_5   Thursday   02:00PM     05:50PM 
4770-02    ARCHITECTURAL_DESIGN_STUDIO_5   Monday     02:00PM     05:50PM 
4770-02    ARCHITECTURAL_DESIGN_STUDIO_5   Wednesday  02:00PM     05:50PM 
4770-02    ARCHITECTURAL_DESIGN_STUDIO_5   Thursday   02:00PM     05:50PM 
4770-03    ARCHITECTURAL_DESIGN_STUDIO_5   Monday     02:00PM     05:50PM 
4770-03    ARCHITECTURAL_DESIGN_STUDIO_5   Wednesday  02:00PM     05:50PM 
4770-03    ARCHITECTURAL_DESIGN_STUDIO_5   Thursday   02:00PM     05:50PM 
4770-04    ARCHITECTURAL_DESIGN_STUDIO_5   Monday     02:00PM     05:50PM 
4770-04    ARCHITECTURAL_DESIGN_STUDIO_5   Wednesday  02:00PM     05:50PM 
4770-04    ARCHITECTURAL_DESIGN_STUDIO_5   Thursday   02:00PM     05:50PM 
4770-05    ARCHITECTURAL_DESIGN_STUDIO_5   Monday     02:00PM     05:50PM 
4770-05    ARCHITECTURAL_DESIGN_STUDIO_5   Wednesday  02:00PM     05:50PM 
4770-05    ARCHITECTURAL_DESIGN_STUDIO_5   Thursday   02:00PM     05:50PM 
4770-06    ARCHITECTURAL_DESIGN_STUDIO_5   Monday     02:00PM     05:50PM 
4770-06    ARCHITECTURAL_DESIGN_STUDIO_5   Wednesday  02:00PM     05:50PM 
4770-06    ARCHITECTURAL_DESIGN_STUDIO_5   Thursday   02:00PM     05:50PM 
4770-80    ARCHITECTURAL_DESIGN_STUDIO_5   Monday     02:00PM     05:50PM 
4770-80    ARCHITECTURAL_DESIGN_STUDIO_5   Wednesday  02:00PM     05:50PM 
4770-80    ARCHITECTURAL_DESIGN_STUDIO_5   Thursday   02:00PM     05:50PM 
4780-01    ARCHITECTURAL_DESIGN_STUDIO_6   Monday     02:00PM     05:50PM 
4780-01    ARCHITECTURAL_DESIGN_STUDIO_6   Wednesday  02:00PM     05:50PM 
4780-01    ARCHITECTURAL_DESIGN_STUDIO_6   Thursday   02:00PM     05:50PM 
4780-02    ARCHITECTURAL_DESIGN_STUDIO_6   Monday     02:00PM     05:50PM 
4780-02    ARCHITECTURAL_DESIGN_STUDIO_6   Wednesday  02:00PM     05:50PM 
4780-02    ARCHITECTURAL_DESIGN_STUDIO_6   Thursday   02:00PM     05:50PM 
4780-03    ARCHITECTURAL_DESIGN_STUDIO_6   Monday     02:00PM     05:50PM 
4780-03    ARCHITECTURAL_DESIGN_STUDIO_6   Wednesday  02:00PM     05:50PM 
4780-03    ARCHITECTURAL_DESIGN_STUDIO_6   Thursday   02:00PM     05:50PM 
4780-04    ARCHITECTURAL_DESIGN_STUDIO_6   Monday     02:00PM     05:50PM 
4780-04    ARCHITECTURAL_DESIGN_STUDIO_6   Wednesday  02:00PM     05:50PM 
4780-04    ARCHITECTURAL_DESIGN_STUDIO_6   Thursday   02:00PM     05:50PM 
4780-05    ARCHITECTURAL_DESIGN_STUDIO_6   Monday     02:00PM     05:50PM 
4780-05    ARCHITECTURAL_DESIGN_STUDIO_6   Wednesday  02:00PM     05:50PM 
4780-05    ARCHITECTURAL_DESIGN_STUDIO_6   Thursday   02:00PM     05:50PM 
4780-06    ARCHITECTURAL_DESIGN_STUDIO_6   Monday     02:00PM     05:50PM 
4780-06    ARCHITECTURAL_DESIGN_STUDIO_6   Wednesday  02:00PM     05:50PM 
4780-06    ARCHITECTURAL_DESIGN_STUDIO_6   Thursday   02:00PM     05:50PM 
4780-80    ARCHITECTURAL_DESIGN_STUDIO_6   Monday     02:00PM     05:50PM 
4780-80    ARCHITECTURAL_DESIGN_STUDIO_6   Wednesday  02:00PM     05:50PM 
4780-80    ARCHITECTURAL_DESIGN_STUDIO_6   Thursday   02:00PM     05:50PM 
4790-01    ARCHITECTURAL_DESIGN_STUDIO_7   Monday     02:00PM     05:50PM 
4790-01    ARCHITECTURAL_DESIGN_STUDIO_7   Wednesday  02:00PM     05:50PM 
4790-01    ARCHITECTURAL_DESIGN_STUDIO_7   Thursday   02:00PM     05:50PM 
4790-02    ARCHITECTURAL_DESIGN_STUDIO_7   Monday     02:00PM     05:50PM 
4790-02    ARCHITECTURAL_DESIGN_STUDIO_7   Wednesday  02:00PM     05:50PM 
4790-02    ARCHITECTURAL_DESIGN_STUDIO_7   Thursday   02:00PM     05:50PM 
4790-03    ARCHITECTURAL_DESIGN_STUDIO_7   Monday     02:00PM     05:50PM 
4790-03    ARCHITECTURAL_DESIGN_STUDIO_7   Wednesday  02:00PM     05:50PM 
4790-03    ARCHITECTURAL_DESIGN_STUDIO_7   Thursday   02:00PM     05:50PM 
4790-04    ARCHITECTURAL_DESIGN_STUDIO_7   Monday     02:00PM     05:50PM 
4790-04    ARCHITECTURAL_DESIGN_STUDIO_7   Wednesday  02:00PM     05:50PM 
4790-04    ARCHITECTURAL_DESIGN_STUDIO_7   Thursday   02:00PM     05:50PM 
4790-05    ARCHITECTURAL_DESIGN_STUDIO_7   Monday     02:00PM     05:50PM 
4790-05    ARCHITECTURAL_DESIGN_STUDIO_7   Wednesday  02:00PM     05:50PM 
4790-05    ARCHITECTURAL_DESIGN_STUDIO_7   Thursday   02:00PM     05:50PM 
4790-06    ARCHITECTURAL_DESIGN_STUDIO_7   Monday     02:00PM     05:50PM 
4790-06    ARCHITECTURAL_DESIGN_STUDIO_7   Wednesday  02:00PM     05:50PM 
4790-06    ARCHITECTURAL_DESIGN_STUDIO_7   Thursday   02:00PM     05:50PM 
4820-01    INTEGRATED_DESIGN_SCHEMATIC     Monday     02:00PM     05:50PM 
4820-01    INTEGRATED_DESIGN_SCHEMATIC     Wednesday  02:00PM     05:50PM 
4820-01    INTEGRATED_DESIGN_SCHEMATIC     Thursday   02:00PM     05:50PM 
4820-02    INTEGRATED_DESIGN_SCHEMATIC     Monday     02:00PM     05:50PM 
4820-02    INTEGRATED_DESIGN_SCHEMATIC     Wednesday  02:00PM     05:50PM 
4820-02    INTEGRATED_DESIGN_SCHEMATIC     Thursday   02:00PM     05:50PM 
4820-03    INTEGRATED_DESIGN_SCHEMATIC     Monday     02:00PM     05:50PM 
4820-03    INTEGRATED_DESIGN_SCHEMATIC     Wednesday  02:00PM     05:50PM 
4820-03    INTEGRATED_DESIGN_SCHEMATIC     Thursday   02:00PM     05:50PM 
4830-01    INTEGRATED_DESIGN_DEV_STUDIO    Monday     02:00PM     05:50PM 
4830-01    INTEGRATED_DESIGN_DEV_STUDIO    Wednesday  02:00PM     05:50PM 
4830-01    INTEGRATED_DESIGN_DEV_STUDIO    Thursday   02:00PM     05:50PM 
4840-01    ARCHITECTURAL_ACOUSTICS_1       Friday     02:00PM     05:50PM 
4860-01    APPLIED_PSYCHOACOUSTICS         Tuesday    09:00AM     11:50AM 
4890-01    ENGINEERING_ACOUSTICS           Wednesday  10:00AM     12:50PM 
4910-01    FINAL_PROJECT_DESIGN_RESCH_SEM  Friday     01:00PM     03:50PM 
4910-02    FINAL_PROJECT_DESIGN_RESCH_SEM  Friday     01:00PM     03:50PM 
4910-03    FINAL_PROJECT_DESIGN_RESCH_SEM  Friday     01:00PM     03:50PM 
4910-04    FINAL_PROJECT_DESIGN_RESCH_SEM  Friday     01:00PM     03:50PM 
4956-80    RESEARCH_DESIGN_SEMINAR         Monday     10:00AM     11:50AM 
4958-80    RESEARCH_INVESTIGATIONS         Friday     02:00PM     05:50PM 
4961-01    VEIL_&_BEAM:_ARCH_OF_ESPIONAGE  Monday     07:00PM     09:50PM 
4963-01    CONTEMPORARY_CERAMIC_ASSEMBLY   Thursday   10:00AM     11:50AM 
4964-01    PROJECTING_LIGHT                Tuesday    10:00AM     11:50AM 
4965-01    SCULPTING_THE_INTANGIBLE        Thursday   12:00PM     01:50PM 
4966-01    PORTFOLIO_DEVELOPMENT           Thursday   12:00PM     01:50PM 
4968-01    NATURE_&_ARCH                   Monday     12:00PM     01:50PM 
4969-01    UPFOLDING_TOPOLOGY              Monday     10:00AM     11:50AM 
4971-01    INDEFINITE_FORM                 Monday     12:00PM     01:50PM 
5100-01    HISTORY,_THEORY,_CRITICISM_I    Monday     10:00AM     11:20AM 
5100-01    HISTORY,_THEORY,_CRITICISM_I    Thursday   10:00AM     11:20AM 
5140-01    STRUCTURES_I                    Tuesday    10:00AM     11:30AM 
5140-01    STRUCTURES_I                    Friday     10:00AM     11:30AM 
5150-01    STRUCTURES_2                    Tuesday    12:00PM     01:20PM 
5150-01    STRUCTURES_2                    Friday     12:00PM     01:20PM 
5200-01    GRADUATE_ARCH_DESIGN_I          Monday     02:00PM     05:50PM 
5200-01    GRADUATE_ARCH_DESIGN_I          Wednesday  02:00PM     05:50PM 
5200-01    GRADUATE_ARCH_DESIGN_I          Thursday   02:00PM     05:50PM 
5300-01    MATERIALS_&_CONSTRUCTION_STMS   Wednesday  10:00AM     01:50PM 
5340-01    MATERIALS_AND_ENCLOSURES        Monday     12:00PM     01:50PM 
6310-80    ENVIRONMENTAL_HISTORY_&_THEORY  Thursday   10:00AM     12:50PM 
6320-01    BUILT_ECOLOGIES_1               Monday     09:00AM     11:50AM 
6320-80    BUILT_ECOLOGIES_1               Friday     02:00PM     04:50PM 
6340-80    MATERIAL_SYSTEMS_&_PRODUCTIONS  Tuesday    02:00PM     04:50PM 
6350-81    DESIGN_RESEARCH_STUDIO          Monday     02:00AM     05:50PM 
6350-81    DESIGN_RESEARCH_STUDIO          Tuesday    11:00AM     12:50PM 
6350-81    DESIGN_RESEARCH_STUDIO          Thursday   02:00AM     05:50PM 
6380-01    ENVIRONMENTAL_PARAMETRICS       Wednesday  09:00AM     10:50AM 
6380-80    ENVIRONMENTAL_PARAMETRICS       Tuesday    11:00AM     12:50PM 
6610-01    GRADUATE_ARCHITECHURE_DESIGN_3  Monday     02:00PM     05:50PM 
6610-01    GRADUATE_ARCHITECHURE_DESIGN_3  Wednesday  02:00PM     05:50PM 
6610-01    GRADUATE_ARCHITECHURE_DESIGN_3  Thursday   02:00PM     05:50PM 
6630-80    GRAD_ARCH_DESIGN_5              Monday     02:00PM     05:50PM 
6630-80    GRAD_ARCH_DESIGN_5              Wednesday  02:00PM     05:50PM 
6630-80    GRAD_ARCH_DESIGN_5              Thursday   02:00PM     05:50PM 
6750-80    FIN_PROJ_RESEARCH_SEMINAR       Friday     10:00AM     12:50PM 
6810-01    RESEARCH_DESIGN_SEMINAR         Thursday   12:00PM     01:50PM 
